rank,conf,review,apply_review,review_threshold,detections,tp,fp,fn,precision,recall,f1,avg_ms
1,0.1,0.55,True,0.55,38,33,5,7,0.8684,0.825,0.8462,112.402
2,0.1,0.75,True,0.75,38,33,5,7,0.8684,0.825,0.8462,114.909
3,0.1,0.65,True,0.65,38,33,5,7,0.8684,0.825,0.8462,117.7
4,0.1,default,True,,38,33,5,7,0.8684,0.825,0.8462,135.084
5,0.1,0.85,True,0.85,38,33,5,7,0.8684,0.825,0.8462,136.639
6,0.1,off,False,,42,34,8,6,0.8095,0.85,0.8293,67.277
7,0.05,0.85,True,0.85,51,36,15,4,0.7059,0.9,0.7912,146.617
8,0.05,0.75,True,0.75,51,36,15,4,0.7059,0.9,0.7912,147.281
9,0.05,0.65,True,0.65,51,36,15,4,0.7059,0.9,0.7912,382.637
10,0.05,default,True,,51,36,15,4,0.7059,0.9,0.7912,2089.37
11,0.05,0.55,True,0.55,54,36,18,4,0.6667,0.9,0.766,324.966
12,0.05,off,False,,61,38,23,2,0.623,0.95,0.7525,58.77
13,0.15,off,False,,31,26,5,14,0.8387,0.65,0.7324,53.726
14,0.15,0.65,True,0.65,29,25,4,15,0.8621,0.625,0.7246,84.841
15,0.15,0.75,True,0.75,29,25,4,15,0.8621,0.625,0.7246,87.901
16,0.15,0.55,True,0.55,29,25,4,15,0.8621,0.625,0.7246,90.246
17,0.15,0.85,True,0.85,29,25,4,15,0.8621,0.625,0.7246,95.739
18,0.15,default,True,,29,25,4,15,0.8621,0.625,0.7246,107.551
19,0.2,off,False,,18,18,0,22,1.0,0.45,0.6207,36.022
20,0.2,0.75,True,0.75,17,17,0,23,1.0,0.425,0.5965,74.23
21,0.2,0.55,True,0.55,17,17,0,23,1.0,0.425,0.5965,75.779
22,0.2,0.65,True,0.65,17,17,0,23,1.0,0.425,0.5965,80.943
23,0.2,default,True,,17,17,0,23,1.0,0.425,0.5965,84.532
24,0.2,0.85,True,0.85,17,17,0,23,1.0,0.425,0.5965,100.31
25,0.25,off,False,,10,10,0,30,1.0,0.25,0.4,60.02
26,0.25,0.55,True,0.55,10,10,0,30,1.0,0.25,0.4,68.313
27,0.25,0.65,True,0.65,10,10,0,30,1.0,0.25,0.4,72.381
28,0.25,0.85,True,0.85,10,10,0,30,1.0,0.25,0.4,78.634
29,0.25,default,True,,10,10,0,30,1.0,0.25,0.4,86.173
30,0.25,0.75,True,0.75,10,10,0,30,1.0,0.25,0.4,150.079
31,0.35,off,False,,3,3,0,37,1.0,0.075,0.1395,36.379
32,0.35,0.75,True,0.75,3,3,0,37,1.0,0.075,0.1395,71.281
33,0.35,0.65,True,0.65,3,3,0,37,1.0,0.075,0.1395,79.449
34,0.35,default,True,,3,3,0,37,1.0,0.075,0.1395,80.161
35,0.35,0.85,True,0.85,3,3,0,37,1.0,0.075,0.1395,82.147
36,0.35,0.55,True,0.55,3,3,0,37,1.0,0.075,0.1395,105.98
