点ID,逻辑X,逻辑Y,相对X,相对Y
cell_1,0,0,0.500136,0.498170
cell_2,0,-1,0.569720,0.422885
cell_3,1,-1,0.609012,0.537315
point_1,1,0,0.540309,0.617625
point_2,0,1,0.429654,0.577679
point_3,-1,0,0.395074,0.460914
point_4,-1,-1,0.463369,0.384095
point_5,0,-1,0.636268,0.350295
point_6,0,-3,0.697647,0.281158
point_7,0,-4,0.758162,0.219703
point_8,0,2,0.350120,0.659108
point_9,0,3,0.268858,0.755900
point_10,0,4,0.179815,0.848083
point_11,-1,1,0.321592,0.534661
point_12,-1,2,0.241194,0.619162
point_13,-1,3,0.156474,0.708272
point_14,-1,-2,0.534258,0.314958
point_15,-1,-3,0.598230,0.245821
point_16,-1,-4,0.657880,0.184366
point_17,1,1,0.463369,0.703663
point_18,1,2,0.382107,0.800455
point_19,1,-2,0.676035,0.454769
point_20,1,-3,0.739143,0.384095
point_21,-2,-1,0.435705,0.281158
point_22,-2,0,0.365681,0.347222
point_23,-2,-2,0.502271,0.213557
point_24,-2,1,0.291335,0.422505
point_25,-2,2,0.212666,0.497788
point_26,-2,3,0.134861,0.574607
point_27,2,0,0.650100,0.662180
point_28,2,-1,0.718395,0.577679
point_29,2,-2,0.783232,0.494715
point_30,2,1,0.577482,0.752827
point_31,3,0,0.699376,0.798918
point_32,3,-1,0.770265,0.706735
point_33,3,-2,0.835966,0.620698
point_34,-3,0,0.267993,0.314958
point_35,-3,1,0.194511,0.384095
point_36,-3,2,0.114978,0.457842
point_37,-4,1,0.171170,0.281158
point_38,-4,2,0.098552,0.348759
point_39,-5,1,0.080398,0.250430
point_40,4,-1,0.887836,0.748218
point_41,4,0,0.820405,0.846546
point_42,4,-2,0.953537,0.665253
point_43,-3,-1,0.338017,0.245821
point_44,2,2,0.501407,0.849619
point_45,-4,3,0.015561,0.424041
point_46,-3,3,0.032851,0.537734
point_47,-2,4,0.047547,0.666790
